time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-19T03:21:39.960Z,35.6126667,-117.435,8.99,0.75,ml,10,172,0.1047,0.17,ci,ci39667680,2020-10-19T03:25:17.962Z,"17km S of Searles Valley, CA",earthquake,0.99,1.48,0.121,4,automatic,ci,ci
2020-10-19T03:20:30.750Z,35.948,-117.7051667,4.98,0.59,ml,7,125,0.04446,0.07,ci,ci39667672,2020-10-19T03:24:02.664Z,"18km E of Little Lake, CA",earthquake,0.34,0.68,0.167,7,automatic,ci,ci
2020-10-19T03:15:58.603Z,69.0423,-144.4771,0,2.2,ml,,,,0.9,ak,ak020dgmcbrf,2020-10-19T03:26:22.132Z,"110 km NNE of Arctic Village, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-10-19T03:15:25.360Z,35.8403333,-117.6435,7.08,0.62,ml,8,94,0.04471,0.12,ci,ci39667664,2020-10-19T03:18:59.255Z,"23km WNW of Searles Valley, CA",earthquake,0.42,0.82,0.224,6,automatic,ci,ci
2020-10-19T03:12:13.300Z,57.4555,-154.8493,36.6,1.6,ml,,,,0.68,ak,ak020dgmbl0s,2020-10-19T03:22:41.486Z,"26 km WSW of Karluk, Alaska",earthquake,,6.3,,,automatic,ak,ak
2020-10-19T03:09:57.010Z,19.1848335266113,-155.47216796875,31.0799999237061,2.41,ml,48,90,,0.119999997,hv,hv72187011,2020-10-19T03:15:28.020Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.47,0.810000002,3.15,8,automatic,hv,hv
2020-10-19T02:47:41.350Z,33.3213333,-116.1895,9.96,1.1,ml,41,44,0.1392,0.24,ci,ci39667656,2020-10-19T02:51:19.112Z,"18km SSW of Oasis, CA",earthquake,0.3,1.05,0.111,25,automatic,ci,ci
2020-10-19T02:44:18.971Z,59.8537,-136.7426,0,1.9,ml,,,,0.76,ak,ak020dglx0vd,2020-10-19T03:15:29.892Z,"51 km NW of Mosquito Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-19T02:39:30.230Z,63.255,-151.3096,0,1.4,ml,,,,0.51,ak,ak020dglvz5j,2020-10-19T02:48:47.033Z,"37 km SSE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-19T02:34:19.710Z,37.574,-118.4615,7.37,2.62,md,31,64,0.02965,0.05,nc,nc73472461,2020-10-19T03:07:06.526Z,"19km E of Toms Place, CA",earthquake,0.36,0.82,0.132,26,reviewed,nc,nc
2020-10-19T02:28:11.280Z,38.8429985,-122.8255005,1.39,0.57,md,10,127,0.008956,0.02,nc,nc73472456,2020-10-19T03:04:05.504Z,"9km WNW of Cobb, CA",earthquake,0.35,0.81,,1,automatic,nc,nc
2020-10-19T02:22:04.298Z,61.7677,-149.7747,49.9,1.3,ml,,,,0.59,ak,ak020dgls9zk,2020-10-19T02:41:35.819Z,"14 km E of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-19T02:12:36.170Z,17.9341,-66.88,15,2.59,md,15,206,0.041,0.13,pr,pr2020293001,2020-10-19T02:32:18.826Z,"4 km SSE of Maria Antonia, Puerto Rico",earthquake,0.63,0.51,0.14,5,reviewed,pr,pr
2020-10-19T02:12:28.720Z,33.3348333,-116.2828333,10.31,0.99,ml,30,111,0.1307,0.22,ci,ci39667632,2020-10-19T02:16:13.247Z,"12km NE of Borrego Springs, CA",earthquake,0.41,1.1,0.121,24,automatic,ci,ci
2020-10-19T02:08:50.240Z,36.0278333,-117.8183333,0.69,1.06,ml,9,101,0.0431,0.14,ci,ci39667624,2020-10-19T02:12:34.316Z,"12km E of Coso Junction, CA",earthquake,0.3,0.54,0.2,7,automatic,ci,ci
2020-10-19T02:08:34.510Z,36.6246681,-121.2291641,5.69,1.95,md,23,131,0.06352,0.06,nc,nc73472451,2020-10-19T02:39:06.325Z,"13km NW of Pinnacles, CA",earthquake,0.3,0.78,0.21,20,automatic,nc,nc
2020-10-19T02:07:52.500Z,35.7158333,-117.5583333,4.27,1.48,ml,18,131,0.1047,0.2,ci,ci39667616,2020-10-19T02:11:39.214Z,"15km NE of Ridgecrest, CA",earthquake,0.5,0.97,0.197,20,automatic,ci,ci
2020-10-19T01:45:11.220Z,19.4926662445068,-155.655166625977,-2.20000004768372,2.01,ml,32,53,,0.25,hv,hv72186926,2020-10-19T01:50:42.070Z,"22 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.37,0.529999971,0.68,4,automatic,hv,hv
2020-10-19T01:40:33.700Z,19.1753330230713,-155.488494873047,33.7900009155273,2.3900001,md,44,94,,0.100000001,hv,hv72186921,2020-10-19T01:43:37.810Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.67,0.829999983,1.00999999,25,automatic,hv,hv
2020-10-19T01:38:02.910Z,32.9753333,-115.9905,9.72,0.89,ml,18,109,0.09007,0.24,ci,ci39667600,2020-10-19T01:41:44.037Z,"23km SE of Ocotillo Wells, CA",earthquake,0.56,1.42,0.188,10,automatic,ci,ci
2020-10-19T01:37:30.900Z,19.2150001525879,-155.389831542969,32.5200004577637,1.82000005,md,27,171,,0.0799999982,hv,hv72186916,2020-10-19T01:40:36.850Z,"9 km E of Pāhala, Hawaii",earthquake,0.71,1.09000003,1.82000005,4,automatic,hv,hv
2020-10-19T01:35:09.670Z,38.393,-118.8918,23.5,1.4,ml,12,74.71,0.35,0.13,nn,nn00779300,2020-10-19T01:42:12.187Z,"27 km WSW of Hawthorne, Nevada",earthquake,,2.9,,,automatic,nn,nn
